"","SRR13836080","SRR13836083","SRR13836084","SRR13836072","SRR13836096","SRR13836087","SRR13836060","SRR13836071","SRR13836058","SRR13836094","SRR13836073","SRR13836091","SRR13836174","SRR13836161","SRR13836175","SRR13836156","SRR13836177","SRR13836164","SRR13836138","SRR13836131","SRR13836147","SRR13836176","SRR13836143","SRR13836148","SRR13836145","SRR13836160"
"Ruminococcus_bromii",0.0292739797879494,0.000308765322531812,0.0109906725876086,0.00654473730123348,0,0.0302169416570409,0.000137219941948835,0.0985162635000291,0.000111198443174932,0,0.00026626526920084,0.0725563677039226,0.0181297692024263,0.000178350014738593,0.00755699512976097,4.64908176300194e-05,0.0126186411705613,0,0.00868550608889525,9.74604996916717e-05,6.56861986534981e-05,0.000968002389726621,0.000326523167793901,0.0275186269165216,0.000656065406927395,0.00120926670261399
"Coprococcus_eutactus",0.0157267437141696,0.0306059848932805,0.00256295444691488,0,0,0.00022906208177768,0,0,0,0,0.207944917933234,0.00290654944995283,0.0517743052847308,0,0.00316094314474068,0,0.0764464233694554,0.0212349345404154,0,0,0.0106716372893303,6.6352254770167e-05,0.0568042115926464,0,0,0.00158981420836199
"Dialister_invisus",0.0120454702137302,0.0401292084172481,0,0,0.000945646104987764,0.00687520257405268,0,0.00541877340947219,0.0598464343505245,0.000376169429237852,0,0.000206345265276294,0,1.43066612663642e-05,0.0637255816967966,0,0.0226000770520771,0.000330921809684122,0.0317761728215207,0.0540619616115392,0.000166650527665124,0.0633051869096452,0.000708829445364114,0.000122849509962152,0.00117327613487233,0.0735625640494217
"Eubacterium_rectale",0.000155707780314341,0.00208591046642167,0.0421152164418087,0.00426673368636252,0,0.0113634186870212,0,0.0318149234798326,0,0,0.00758566645849488,0.000184330303893658,0.0126502641177882,6.00776059006119e-05,0.00554894152748271,0,0.00732191987028338,0,0.0026930199753548,0,0.0146424884405754,0.00916925127368962,0.0693627864174754,7.72683630059761e-05,0,0.0622537412785391
"Phocaeicola_vulgatus",0.0602382317261951,0.0286285974849245,0.0763247641424347,0.00518888433353454,0.00387677486652481,0.0180804484127715,0.00237377361315794,0.0184098375505434,0.00437636892999387,0.00424910677022424,0.0157171225355974,0.0825152608708495,0.0542431493026835,0.00325167894844663,2.5246130522564,0.672345533369308,0.261027168205964,0.421297564514368,0.127296511555597,2.23625348882021,0.0507268250122791,0.0496001991014701,0.316145655353913,0.679339246994038,0.0087515534484884,1.01994700941523
"Bacteroides_uniformis",0.24554478016434,0.193578902544763,0.175934424515044,0.10188760163553,0.00149137380332409,0.433797996971957,0.00136630249243437,0.0308901379518855,0.04929557055524,0.458220636074909,0.0527582259577863,0.171069362535177,0.527361867975743,0.126189729114753,0.0934895710565143,0.403029234228823,1.84364210404441,0.109481467084105,0.111885196201687,0.0474715533898141,0.101461566292974,0.00652627052610183,0.087124420353913,0.840576726176894,0.250980899395483,0.00202743039149031
"GGB3619_SGB4894",0,0.0119428230209077,0.00151970389840307,0,0,0,0,0,0,0,0,0,0.00163386603152699,0,0,0,0.00520294623375542,0.029399347947161,0,0,0.0137277011153474,0,0.0147961987994651,0,0,0
"Bacteroides_cellulosilyticus",0.0142667402228872,3.2015756337944e-05,0.00302783931154192,7.45858786070833e-05,0,0.0150489207970154,0,0.00565076387598345,0,1.59136987544847e-05,0.00549427212808945,0.00120160689900245,0.0226911260818153,5.58517141413051e-05,0.0011102416862349,0,7.1725086247858e-05,0.067254256887898,0.0285672791933535,0,0.0113102175423132,0.000432603791977366,0,1.00935225976702e-05,0,0.0529634693392866
"Phocaeicola_massiliensis",0.01836260553962,0.000474653720875881,0.0112430028654701,0.00094606171329666,0,0.0597038136107501,0.000419233460493638,0.00896011075757302,0.000209081180509445,0,0.040467482837905,0.00436337465402935,0.00041989077439955,0.000119818517877353,0.215252196378939,0.000437161564149102,0,0.000326330497617367,0.000632808089171903,0.000674037615560139,0.0164938279955867,0.000626948470416382,0.0968718244529459,0.000353450521556501,0.00224056050747228,0
"GGB4684_SGB6478",0,0.0145074872714585,0,0,0,0.0204859600422694,0,0,0,0,0.00447495335248354,0,0,0,0,0,0,0,0,0,0.00305294967003495,0,0.00768111720404083,0,0,0
"Clostridium_sp_1001270H_150608_G6",0.0403705610450807,3.18105777437979e-05,0,0.000127907846526642,0,0,0,0.224555207800167,0,0,2.60553291927085e-05,0,0.0185017011839858,0,0.00030379745081913,0,0.000810690604201084,0,0,0,0.0485494473303907,0,4.17000708641811e-06,0,0,0
"Akkermansia_muciniphila",0.0614621087996028,0.0148601261805442,0,0,2.52245428637331e-05,5.21607422287423e-05,0,0.000152538123758036,0.000560623493285145,0.000259429741003522,0,0.166422440886102,0.0263255378847708,0.00375597915275658,0.013697193739774,0,0.0152844382183795,0,0.000183539124399898,0,0,0,0.0862240492790985,0,0,0.000112056502455207
"GGB3277_SGB4327",0.000266090018865994,0.00034530202544661,6.44890140607238e-05,0.000686834491183443,0,0,1.6261077708774e-05,1.05094764809874,8.01619431521754e-05,0,0.00031909330925232,0,0,0,0,0,0,0.31642060360544,0,0,0.0088509287642241,0,0.0115454218966764,0.0115645467109981,0,0
"Alistipes_putredinis",0.175268538468745,0.20389312410151,0.152592009249952,0.0596189272873063,0.000584517540306777,0.482421115358653,0.00164440885794404,0.0814341606761434,0.0023946511689891,0.00802467932941084,0.320675849656236,0.391825964365249,0.108621698792557,0.000847293504005357,0.132751353064197,0.146962081142699,0.0086726738005603,0.194826724943197,0.236096115149583,0.00581168363452227,0.223763642480867,0.00729788383331835,1.3162493290302,0.00635803531454545,0.00855512876376666,0.00102294404237247
"Enterocloster_SGB14313",0,0.00101921562591376,0,0,0,0,0,0,0,0,0,0,0.00346077616598502,0,0,0,0,0,0,0,0.0336811989365399,0,0.00995697394537522,0,0,0
"GGB9758_SGB15368",0,0,0.000226980415467237,0,0,0,0,0,0,6.10993125079429e-05,0,0,0.0337937129081858,0,0.00692485148305901,0,0.0298970307269136,0,0.00130609427118505,0.000195267769727517,0.142260761420583,0,0.0263334053249029,0,3.38434790746133e-05,0
"Roseburia_inulinivorans",0.00327484687137205,0.000324212737571364,0.0186049157628393,0,0,0.00229004793828485,0,0.000801244863285435,0,0,0.0193438497633098,0.0092291132798337,0.0076613870308039,3.0986041001278e-05,0.00364860939423642,0.00228851892344826,0.0238033290438908,0.0413394917829403,0.00173508640763155,0.0863296071844065,0.00117504948279682,0.00116315842185149,0.00235433370448066,0,0,0.0137425787212113
"Ruminococcus_lactaris",0.0239057734447022,0,0.00106853286467436,0,0,0,0,0.0267535046496958,0,4.773039148161e-05,0,0,0.00708229278929578,0,0.00167480944504142,0,0.000418123528471728,0,0,0.003163353656563,0.000584186243139001,0,0.00932023851078484,0,0,0.0182971026149205
"Bacteroides_xylanisolvens",0.0250781730209882,0.00777093922275443,0.00213543115435192,0.00146826060503143,0.0252587104784397,0.0802332245915381,0.00030235573048654,0.00022409779459814,1.53283185665622,0.165723040341443,0.00795584634598362,0.0159639356285684,0.00897580006922133,0.000288011965601037,0.016210201877279,0.000549007727350923,0.019365926050457,0.000222566813102679,0.0023711650436412,0.345447112093885,0.00505325977963965,0.002268037642272,0.00169284389467484,0.000670030577144224,0.353163593578561,0.121327539617876
"Clostridium_sp_AM49_4BH",0,0.000399987418455065,0,0,0,0.00281670943441703,0,0.0515085422157578,0,0,0,6.96201125012474e-05,0,0,0.00598470449680075,0,0.0154383990185448,0,0,0,0.0124810669806093,0,0.000695783752635231,0,0,0
"Lachnospira_sp_NSJ_43",0,9.45768733723832e-05,0,0,0,0,0,0.000145016136127151,0,0,0.00578072823680499,0,0.0013846230802337,0,0.00363112195206255,0,0,0.000600457779557702,0,0,5.33246897145487e-05,0,0.00323720171806721,0.0056204494364774,0,0.0178553328337158
"GGB3256_SGB4303",0,0,0,0.0139142182596969,0,0.0780520653671988,0,0,0.000352393300138041,2.52806875481844e-05,0,0.000238820885212367,0.0113127546550458,0,0.0166221344993314,0,0.252911946792083,0.000119261442255529,0.000807605812209138,0,0,0,0.0543309571582315,0,0,0.0432521474176734
"Paraprevotella_clara",9.44169871349021e-05,0.035669903365771,0.162277007657601,0.00104674946797497,0,0.0485228060634525,0,2.71018666454463e-06,0,0,0,0,0,1.29443271449269e-05,0,0,0,0,0,0.000132981618662878,4.74279488634549e-05,0,0.000248214896086297,8.50658720761447e-05,0.000494124910672755,0
"Eubacterium_SGB6276",0,0.00188027175827691,0,0,0,0,0,0,0,0,0,0.000480903247910305,0.00249748468759038,0,0.00238502401740025,0,0.00116190868159478,0.00637840455225968,0,0,0.0310637551371027,0,0.0171099776560055,0,0,3.3595094972184e-05
"Clostridium_SGB4648",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eubacterium_ventriosum",0.0115971135228079,0.00033891857689965,0,0,0.0101045153680027,0.00398809975944492,0,0.00344671825402372,0,0,0.00156226030853213,0.00630148504000059,0.000161467614436867,0,0.00549951842596637,0,0.00215724984200931,0.0518949479462567,0,0.0173455152949278,0.00152452777825578,0.000568975756865892,0.00358353006277302,0.0347559028515031,7.15037577708342e-06,1.38636194852274e-05
"GGB9345_SGB14311",0,0.000626209975493991,0,0,0,0,0,0,0,0,0,0.0304096049489043,0.00166650168441212,0,0,0,0,0,0,0,0.00221346575042901,0,0.00214026782805186,0,0,0
"Odoribacter_splanchnicus",0.00368153295513474,0.0200389959387234,0.00212142337814423,0,0,0.00751152363661759,0,0,0,0,0.00517359538525733,0.000873758142374552,0.00967359576949189,0.0314408216246473,0.00646448295844202,0.00603063074202252,0.0324031477417221,0.0349298582709215,0,0,0.0044551373808338,0,0.0369033000640159,0,0.0136297995216424,0.0773571012568482
"Dorea_longicatena",0.0914634535136337,0.00345356174472475,0.00336580599928074,0,3.75602158932033e-05,0.000466120271028869,0.00544944961244415,0,0,0.0072860961725813,0.00171258219567228,0,0.00248242765563019,4.03186920236294e-05,0.00345501673955531,0.000704985102999286,0.000465967235946743,0.00281349486917654,0,0,0.00729288170593673,0.00243537058149008,0.00369261835876554,0.000385389224888507,0,0.0151628424348316
"Parabacteroides_distasonis",0.030264825337806,0.0109391772973346,0.0514091991885311,0.0170935205073548,0.000103478348355087,0.125884684145604,0.000146976332106357,0.0114326775548347,0.861084663547357,0.141188313424125,0.0110286771255219,0.0149308356347447,0.00565098558068428,9.58372470506924e-05,0.0501658424681814,0.0946064931447812,0.100878628072385,0.0162183295438941,0.216183669032236,0.041255330562896,0.0086533479555252,0.00950468698939067,0.104666433678158,0.116006519085186,0.0748871595259122,0.000236349997056482
"Faecalibacterium_prausnitzii",0.0695077437374657,0.337747852601226,0.0320076175438014,0.00626122377676474,0,0.0171370681405787,0.00185081521255312,1.58809464700839,0.00364392890981154,0.00816388656051183,0.209976933207332,0.182584512145402,0.0506864904973042,0.00224362998684457,0.355495527228465,0.10383850201282,0.0276804440662417,0.334899202645747,0.0136353169604806,0.794036730169826,0.165339363422034,0.297894805049419,0.319524753321808,0.0481855258288371,0.00164502734760728,0.159862441720431
"Roseburia_faecis",0.0379645475108688,0.000545421000188808,0.00027251900575464,0.0049918859440586,0,0.00777304383854307,1.21272028665101e-05,0.00812051842470246,2.53390619653322e-05,0.000638026548129591,0.0266669935568269,0.0112532632284098,0.0798309673150242,0.00154136352331196,0.00304649070296501,0.000270144085443576,0.0729102425639231,0.0649414936398314,0.004863035094715,0.00412053338467636,0.0019964954214345,0.00153877851199323,0.0731190022746292,0.000200202521052497,0.000405723407585416,0.069871587751765
"Coprococcus_comes",0.0158449089822287,0.000408877861745547,0.00647450684665178,0,0,0.00506489359727435,0,0,0,0.000455321394006241,0.00122332549739505,0.000764090661678778,0.00220337522331469,0,0.0138295064608261,0.0112631796459924,0.000739352900439292,0.00733461133247607,0,0,0.000511595570949732,0,0.00409189632202376,0.000190205958724352,0,0.00957605688418503
"Bacteroides_faecis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Barnesiella_intestinihominis",0,0.00548201679797253,0.00677608419816652,0,0,0.0196037975506685,0,0,0,0.000470550176338756,0.0363451427893465,0.0743530442570977,0.00126441082736611,0.0269987961594135,0.0811321562545549,0,0.0489163154914051,0,0.000472507478220365,5.96892663227882e-05,0.0878244712655069,0.000239189374450033,0.176880440524283,0,0.000866797055064139,0
"GGB3746_SGB5089",0.00485265228957271,0,0,0,0,0.000206023270756009,0,0,0.00218815900784341,9.89570897265043e-05,0,0.000852977708546057,0.00549795068485521,0.000471744469669487,0.000803436949939621,6.89858828979028e-05,0.00478603801603078,0.00386918126939891,0.00150018418225292,0,0.000107286859234566,0,0,0,0,0.0290796602167295
"Intestinibacter_bartlettii",0,0,0,0,0.000138579258702425,0,0,0,0,0.00140466165694449,0.000577569123631595,0,0,0,0.000117233134735535,0,0.00020354126538871,0,0,0,0,0,0,0,0,0
"Desulfovibrio_SGB5077",0,0.000417922866946897,0,0,0,0.000241151149148072,0,0,0,0,0,0,0.00266284617143251,0,0.0224889435756629,0,0,0.00275791652042007,0,0.0127450370936279,0.000346605734824194,0,0,0,0,0.00195851283873787
"Firmicutes_bacterium_AF16_15",0.00197174829805154,0.0446341807043338,0.000751510455040613,7.88892653334714e-05,0,0,0,0.0565471989589259,0,0,0.00192297375165882,0.00393601683700756,0.000733985179003815,0,0.0103997925056353,8.38840133291191e-05,0.000445253940619924,0.00982038625934384,0,0.000293703689162584,0.012277496210807,0,0.00722979964816197,1.46776247888071e-05,0,0.00437392847244764
"Bacteroides_caccae",0.0179316238018457,0.040029003190967,0.00109042874817187,0.00140895551026153,0.000205024120831577,0.0430080900986602,7.61653050601764e-05,0.00618973649707135,0.000218491111814512,0.406764996797431,0.0221846946892591,0.0442432895773004,0.032236447311866,6.61282210827753e-05,0.0190060908876914,0.133015807481492,0.0290705339309074,0.016474605893482,0.055282447623571,0.000341211661234679,0.013712173987961,0.00310146537616812,0.00231890097192371,0.305419030695484,0.000537489593551603,0.000238657732071776
"Ruminococcus_torques",0.000110987630652197,0.00244675354812715,0.00171010614987918,0.0135316500920879,0,0.0237898075084204,0,0.0770608386705243,0.000359452134133408,0.0793901882613361,0.00153586570816011,0.00251230847351457,0.00157555983791943,0.00220519552714984,0.00197819815321147,0.00629290136274981,0.00336803935627053,0.000358478178115582,0.00138658875487624,0,0.0131613915858801,0,0.00763528143406824,0.00785214034939882,0,0.0398822650924786
"GGB9342_SGB14306",0,0.000366598590520752,0,0,0,0.00313244541139804,0,0,0,0,0,0.00205701023089186,0.000932791446521995,0,0,0,0,0,0,0,0,0,0.00306538091629001,0,0,0
"Clostridium_sp_AF12_28",0.00017939050999232,0,0,0,0,0.00483914441142164,0,0,0,0,0,0,9.65043473113534e-06,0,0.00227338745787351,0,0.0015710433903915,0.00248303570670877,0,0,3.99623780936891e-05,0,0,0,0,0
"Bacteroides_finegoldii",0.00352240897230724,0.00143846987669545,0.00142789116219979,0,0,0.0232869650732522,0,0.000667775247165464,0,0,0.00763270087925145,0.00123900022493685,0.00561995738091835,0.277135798844164,0.0829073199465135,0,0.000102792489375673,0,0.646441574157828,8.27732805226172e-05,0.01256300550989,0.00098930139391923,0.000793078799996375,0,0.000620422882273469,0.000219486756188701
"GGB9359_SGB14334",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dorea_formicigenerans",0.000716325094757894,0.00039876427515047,0,0,0,0.000783393160928562,0,0.0261852176506904,0,0.000875484574044163,0.000477303723054318,0.000597482184570546,0,0,8.52198069904891e-05,0,0,0.000637722477833312,0,0.00170496752810221,0.000867897330313223,0,0.000880942746432616,0,0,0.001429326748944
"Veillonella_rogosae",0,0,5.75447648020143e-05,0,0,0.000829154423951815,0.0048326442852524,0,0.0217674032170825,0,0.00248200587373729,0,5.75914464684321e-06,0,0,0.00332213831338262,0,0,0,0,0,0,0,0,0,0
"Clostridium_sp_1001270J_160509_D11",0,0,0,0,0,0,0,0,0,0,0.00086910912056157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GGB9636_SGB15107",0,0,0,0,0,0.0336019517243591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Phocaeicola_dorei",0.00063979021364962,0.000159315431127794,5.76254932956327e-05,0.0198754383626944,1.20362003366532,0.174588045578708,0.000714542388778202,0.00240982561772243,0.669599379613231,1.45611439673768,0.00990218584081973,0.00412081370371575,0.00896665371568796,0.502315778161438,0.000953755195366995,0.00692975240348445,0.00116122792532516,0.0244241839320504,0.26570921232022,0.344114838537343,0.0243349975199273,0.00282929005610883,0.00328957871850309,0.00152628647291077,0.547534835552179,0.000653376379567249
"Ruminococcus_bicirculans",0.00700723745574268,0.000420244765546844,0.000119246102598042,0.00135137099618462,5.27386821538394e-06,0.000102579213433046,0,0.0186864541626156,0,0.00217642334158186,0.0225990455573593,0.0761419761222815,0.00149032624313734,6.04646129961881e-05,0.00220587295336996,0,0.00493548246610984,0,0.000374560603636178,0.0689432507672472,0.00374000602577708,0.00104004460830944,0.0466425906116743,0.000709442632158182,0.00155816414044078,0.00803667719803893
"Bacteroides_ovatus",0.00307038867041412,0.0782850535376916,0.0545810850524985,0.00457731410002375,0.000294486135623264,0.00207240668152534,0.00298395173538133,0.0084629305276418,0.00115049377298254,0.0950119659678186,0.00637287900723002,0.0359439070357496,0.00853718470031397,0.023702318999874,0.0417784355329998,0.104146233303186,0.0125982221271911,0.0953252318288166,0.381469068120953,0.00706489793364069,0.00761333773589694,2.19472937856185,0.00640447374832587,0.307634731025657,0.0138398330932402,0.374775625815315
"Lachnospiraceae_bacterium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000794892996918763,0.000787568830110468,0,0,9.57244197283797e-06,0,0.000157344112618381,0,0,0.000557228333542806
"Faecalibacillus_intestinalis",0.000115256294090574,0.000440391394671515,0,0,0,0.000215985187466332,0,0,0,0.00100504403307198,0.000123387195777367,7.77992547431696e-05,0.00030695425258696,0,0,0.00010666349857515,0,0.0010571570634934,0,0.000209738032597736,0.000349022907936664,0,0.000919957587215338,0.000305162229734539,0,0.00273115463338219
"GGB3612_SGB4882",0,0,0,0,0,0.000146685750839654,0,0,0,0,0,0,0.0116340190801842,0,0.000567765069332668,0,0,0,0,0,0.000113210712496489,0,0,0,0,0
"Blautia_wexlerae",0.00185893177921643,0.0006162390490652,0.0030341940440498,0.00548881516866195,0.000854360657669926,0.00053668755389649,0.00150908128774029,0.212423676159891,0,0.000427637577714742,0.00154845455580314,0.0102366956448349,0.000471147418499743,0,0.00988177918436665,0.00170813230065201,0.000666447988487073,0.00283712330204244,0.000598121025813361,0.00366949348483914,0.00153698662384454,0,0.00405557474799754,0.00138389622619059,0.00155397595008137,0.0121222599480088
"Eubacterium_siraeum",0,0,0,0,0,0,0,0,0,0,0,0.00137652604471341,8.59480649652812e-05,0,0.157617618969033,0,0,0,0,0.110161158593836,0,0,0,0,4.86497859156884e-05,0
"Eubacteriaceae_bacterium",0.003642978354195,0.000113603639333464,0.00511996048970246,0,0,0.00290288669273619,0,0,0,0,0.000547984831079784,0,0.00122318745538307,0,0,0,0.045974092368812,0.0283303955029496,0.0227770089553345,0.00673902019199699,0.00491639509133107,0,0.00497337186406363,0,0,0.00111336704917016
"GGB3653_SGB4964",0.00834649054935104,0,0.000172059334640882,0,0,7.2617846335408e-05,0,0,0,0,0.000654953916562423,0,0.00159854145435261,0,0,0,0,0,0,0.000501059976588383,0.000351222742737594,0,0.00289638727286103,0,0,0
"GGB3614_SGB4886",0,0,0,0,0,0,0,0,0,0,0,0,0.00771399125805475,0,0,0,0,0,0,0,0.00117708595054067,0,0.00115676003921511,0,0,0
"Staphylococcus_SGB6340",0,0,0,0,0,0,0,0,0,0,0,0,0.00231524990000419,0,0,0,0,0,0,0,0.00108331977739801,0,0,0,0,0
"Parabacteroides_merdae",0.033925956019433,0.0329003212744449,0.0851310954490272,0.0032862559035736,4.75197234026928e-05,0.0407275268758926,0,0.000273841069057668,0.000134378767363238,0.0856768683035251,0.0132093562037037,0.0184176645753838,0.0223226950668902,0.18305260230959,0.0409209219989411,0.0700279863060797,0.000430572788256522,0.0783364468685348,0.199702034164445,0.000508119658786617,0.0406149010318227,0.00161562019128475,0.120992951375056,1.33131072770881e-05,0.000124853219153131,0.0002366352723248
"Phascolarctobacterium_faecium",0.00034313681228569,0.00120217151087695,0.00772636138785644,0.0150150767381426,0.000416491599797496,0.12793855563917,0.00514251662163905,0.00369970220171633,0.000320826496903426,0.0980013505135682,0.00392397263063802,0.0399411334310649,0.222906036533208,0.0671223549055368,0.00649563575384132,0.0471805973594759,0.000401285005726109,0.109556279288153,0.00220442504258834,0.00174908099979179,0.0572684778988597,0.00229263110324998,0.0135971324329911,0.112510646130201,0.0670837088961698,0.000908055759633919
"Clostridiaceae_bacterium",0.00211332844829716,0.00558589766014246,0.0299155294547533,0,0,0.000401321891371457,0,0.00986344571572825,0,0,0.0010545205686555,0.00218396868631947,0.00384049930767256,0.000131808139819762,0.0142296401074428,0.00014554953180459,0.000563102333183508,0.0594696877206643,0.000129199184696269,0.000836227622752002,0.014695309857379,0.00595212887265011,0.00592334231831003,0.00165006528487376,0,0.00470788458736227
"Faecalicatena_fissicatena",0,0.000575493190026178,0.00154265237663815,0,0,0.00316679309916282,0,0.00215423464217298,0,0,0.00162299549482744,0.00162135016555714,0.00240117823701971,0,0.000126808009568386,0,0.00071983576988325,0.00881151937594459,0,0,0.00130780979634637,0,0.00212318134601871,0,0,0.0155166188916093
